Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Sebek et al. (2015),"P. Sebek, R. Bace, M. Bartos, J. Benes, Z. Chlumska, J. Dolezal, J. Kovar, O. Machac, B. Mikatova, M. Platek, S. Polakova, M. Skorpik, R. Stejskal, M. Svoboda, F. Trnka, M. Vlasin, M. Zapletal and L. Cizek",2015,Does a hands-off management approach threaten the biodiversity of protected areas? A multi-taxa case study of responses to intervention in temperate oak-dominated forests,Journal of Applied Ecology,Submitted,,English,,Czech Republic,South Moravia,Podyji National Park,,48.85 N,15.89 E,48.85,15.89,,Broadleaf,"Quercus petraea, Carpinus betulus, Tilia cordata",,,Formerly grazed and coppiced,CI,6,PART,Gap felling (0.16 ha gaps),"InsRich, BeetsRich, BeetoRich, ArthRich, ReptRich, BirdRich, VascRich, InsComp, BeetsComp, BeetoComp, ArthComp, ReptComp, BirdComp, VascComp",,Butterflies; moths; epigeic beetles; saproxylic beetles; spiders; reptiles; birds; vascular plants,,,http://scholar.google.co.uk/scholar?q=Does+a+hands-off+management+approach+threaten+the+biodiversity+of+protected+areas?+A+multi-taxa+case+study+of+responses+to+intervention+in+temperate+oak-dominated+forests&btnG=&hl=en&as_sdt=0%2C5
Sebek et al. (2013),"P. Sebek, J. Altman, M. Platek and L. Cizek",2013,Is active management the key to the conservation of saproxylic biodiversity? Pollarding promotes the formation of tree hollows,PLoS ONE,8 (3): e60456,,English,,Czech Republic,South Moravia,Vojkovice; Krive jezero; Kanci obora; Pastvisko,,48.77-49.05 N,16.60-16.87 E,48.9,16.74,,Broadleaf ,Salix alba,,,,CI,2,POLL,Pollarding,MicroCav,,,Tree cavities,,http://scholar.google.co.uk/scholar?q=Is+active+management+the+key+to+the+conservation+of+saproxylic+biodiversity?+Pollarding+promotes+the+formation+of+tree+hollows&btnG=&hl=en&as_sdt=0%2C5
Vild et al. (2013),"O. Vild, J. Role?ek, R. Hédl, M. Kopecký and D. Utinek",2013,Experimental restoration of coppice-with-standards: Response of understorey vegetation from the conservation perspective,Forest Ecology and Management,310,234-241,English,,Czech Republic,,Krumlov Wood,,49.05 N,16.37 E,49.05,16.37,278-415,Broadleaf,"Quercus spp., hardwood",,,Formerly coppiced,CI,5,THIN,"Thinning, 17 and 66% retention","TreeAbuns, TreeAbunt, VascAbuns, VascAbunt, VascRich, VascComp, InvasRich",,Trees and other vascular plants,,Published site coordinates confuse latitude with longitude.,http://scholar.google.co.uk/scholar?q=Experimental+restoration+of+coppice-with-standards:+Response+of+understorey+vegetation+from+the+conservation+perspective&btnG=&hl=en&as_sdt=0%2C5
Spitzer et al. (2008),"L. Spitzer, M. Konvicka, J. Benes, R. Tropek, I. H. Tuf and J. Tufova",2008,Does closure of traditionally managed open woodlands threaten epigeic invertebrates? Effects of coppicing and high deer densities,Biological Conservation,141,827-837,English,,Czech Republic,,Milovicky Wood,,48.82 N,16.70 E,48.82,16.7,250,Broadleaf (coppice),"Quercus petraea, Quercus pubescens, Carpinus betulus",80,,,CI,1 (grazing); 4 (thinning),"GRAZ, THIN",Enclosure with higher-than-normal abundance of red and fallow deer; thinning,"BeetgAbunt, BeetgComp, BeetgRich, ArthAbunt, ArthComp, ArthRich",,Carabids; arachnids (Araneae + Opiliones); myriapods-isopods (Chilopoda + Diplopoda + Oniscidea),,,http://scholar.google.co.uk/scholar?q=Does+closure+of+traditionally+managed+open+woodlands+threaten+epigeic+invertebrates?+Effects+of+coppicing+and+high+deer+densities&btnG=&hl=en&as_sdt=0%2C5
Strandberg et al. (2005),"B. Strandberg, S. M. Kristiansen and K. Tybirk",2005,"Dynamic oak-scrub to forest succession: Effects of management on understorey vegetation, humus forms and soils",Forest Ecology and Management,211,318-328,English,,Denmark,Jutland,Hald Ege,,56.42 N,9.67 E,56.42,9.67,,Broadleaf,"Quercus spp., Fagus sylvatica",,,,CI,3 (cutting); 1 (grazing),"GRAZ, PART",Horse grazing vs. discontinued grazing; removal of beech and spruce,"VascRich, VascComp",,Vascular plants,,,"http://scholar.google.co.uk/scholar?q=Dynamic+oak-scrub+to+forest+succession:+Effects+of+management+on+understorey+vegetation,+humus+forms+and+soils&btnG=&hl=en&as_sdt=0%2C5"
Grebenc et al. (2009),"T. Grebenc, M. Christensen, U. Vilhar, M. ?ater, M. P. Martín, P. Simon?i? and H. Kraigher",2009,Response of ectomycorrhizal community structure to gap opening in natural and managed temperate beech-dominated forests,Canadian Journal of Forest Research,39,1375-1386,English,,Denmark; Slovenia,,"Ravensholte Skov, Skjoldenæsholm forest area (Denmark); Snežna jama, Dinaric Alps (Slovenia)",,55.52 and 45.65 N,11.90 and 15.03 E,55.52,11.9,80-90 (Denmark); 850-900 (Slovenia),Broadleaf,Fagus sylvatica,75 (Denmark),,,CI,2,PART,Gap felling (0.03 ha gaps). (Study also reports on windfalls at two other sites.),"FungAbuns, FungComp, FungRich, FungDiv",,Ectomycorrhizal fungi,,,http://scholar.google.co.uk/scholar?q=Response+of+ectomycorrhizal+community+structure+to+gap+opening+in+natural+and+managed+temperate+beech-dominated+forests&btnG=&hl=en&as_sdt=0%2C5
Laarmann et al. (2013),"D. Laarmann, H. Korjus, A. Sims, A. Kangur and J. A. Stanturf",2013,Initial effects of restoring natural forest structures in Estonia,Forest Ecology and Management,304,303-311,English,,Estonia,,,Protection of priority forest habitat types in Estonia,58-59 N,26-29 E,58.5,27.5,,Coniferous,Pinus sylvestris; Picea abies,30-100,,Planted,BACI,2-17,"ADD, BURN, PART",Addition of dead wood; prescribed burning; gap felling (0.007-0.15 ha gaps),"TreeAbuns, VascAbuns, VascRich, VascDiv, BryoAbuns, BryoRich, BryoDiv, LichAbuns, LichRich, LichDiv, BeetoAbuns, BeetoRich, BeetoDiv",,Trees and other vascular plants; bryophytes; lichens; beetles,,Published site coordinates incorrect,http://scholar.google.co.uk/scholar?q=Initial+effects+of+restoring+natural+forest+structures+in+Estonia&btnG=&hl=en&as_sdt=0%2C5
Lõhmus (2004),A. Lõhmus,2004,Breeding bird communities in two Estonian forest landscapes: are managed areas lost for biodiversity conservation?,Proc. Estonian Acad. Sci. Biol. Ecol.,53,52-67,English,,Estonia,,,,58.42 N,26.33 E,58.42,26.33,20-50,Coniferous; mixed; broadleaf,"Pinus sylvestris, Picea abies, Betula spp.",30-110,,,CI,Not clear,THIN,Thinning,"BirdAbunt, BirdDiv",,Birds,,,http://scholar.google.co.uk/scholar?q=Breeding+bird+communities+in+two+Estonian+forest+landscapes:+are+managed+areas+lost+for+biodiversity+conservation?&btnG=&hl=en&as_sdt=0%2C5
Sellis (2014),S. Sellis,2014,Eluspuude ja kõdupuidu dünaamika salu- ja palumetsade suktsessioonis (Dynamics of live trees and decaying wood in the succession of Aegopodium and Vaccinium type forests),Tartu Ülikool (thesis),,,Estonian,,Estonia,,,,57.8-59.3 N,24.6-27.7 E ,58.5,26,20-300,Mixed,"Betula spp., Populus tremula, Alnus incana",19-40,,,CI,6,THIN,Thinning,"DeadAbunt, DeadDv, TreeAbuns, TreeDiv, VertDiam",,Woody plants,Vertical stand structure; dead wood,,http://scholar.google.co.uk/scholar?q=Eluspuude+ja+kõdupuidu+dünaamika+salu-+ja+palumetsade+suktsessioonis+(Dynamics+of+live+trees+and+decaying+wood+in+the+succession+of+Aegopodium+and+Vaccinium+type+forests)&btnG=&hl=en&as_sdt=0%2C5
Jokisuu (2013),R. Jokisuu,2013,Lahopuun lisäyksillä tehtyjen ennallistamistoimien vaikutus taimettumiseen mänty- ja kuusimetsissä (Dead wood creation as a restoration treatment: effects on seedling establishment in pine and spruce forests),University of Jyväskylä (thesis),,,Finnish,,Finland,Central Finland,Leivonmäki National Park,,61.9 N,26.0 E,61.9,26,,Coniferous,Picea abies; Pinus sylvestris,80-100,,,CI,5 in each of 2 stand types,CREA,"Creation of dead wood by logging (2 levels, with logs evenly distributed or piled)","TreeAbuns, TreeAbunt, TreeRich, TreePerf",,Tree seedlings,,,http://scholar.google.co.uk/scholar?q=Lahopuun+lisäyksillä+tehtyjen+ennallistamistoimien+vaikutus+taimettumiseen+mänty-+ja+kuusimetsissä&btnG=&hl=en&as_sdt=0%2C5
Komonen et al. (2014a),"A. Komonen, P. Halme, M. Jäntti, T. Koskela, J. S. Kotiaho and T. Toivanen",2014,Created substrates do not fully mimic natural substrates in restoration: The occurrence of polypores on spruce logs,Silva Fennica,48 (1): 980,,English,,Finland,Central Finland,Leivonmäki National Park,,61.9 N,26.0 E,61.9,26,,Coniferous,Picea abies,,,,CI,27-35 logs,CREA,Creation of dead wood by logging or girdling,"FungAbuns, FungRich",,Polypores,,Comparison of polypores on created and naturally occurring dead wood.,http://scholar.google.co.uk/scholar?q=Created+substrates+do+not+fully+mimic+natural+substrates+in+restoration:+The+occurrence+of+polypores+on+spruce+logs&btnG=&hl=en&as_sdt=0%2C5
Haimi et al. (2000),"J. Haimi, H. Fritze and P. Moilanen",2000,Responses of soil decomposer animals to wood-ash fertilisation and burning in a coniferous forest stand,Forest Ecology and Management,129,53-61,English,,Finland,Central Finland,,,62.03 N,24.83 E,62.03,24.83,130,Coniferous,Pinus sylvestris,100,,,CI,4,BURN,Prescribed burning. (Study also reports on wood-ash fertilisation.),"ArthAbunt, InverAbunt",,Soil invertebrates,,Site coordinates and altitude from Fritze et al. (1994),http://scholar.google.co.uk/scholar?q=Responses+of+soil+decomposer+animals+to+wood-ash+fertilisation+and+burning+in+a+coniferous+forest+stand&btnG=&hl=en&as_sdt=0%2C5
Mustola (2012),K. Mustola,2012,The effect of grazing history on fungal diversity in broadleaved pastures,University of Jyväskylä (thesis),,,English,,Finland,Central Finland,,,61.8-62.5 N,25.2-26.2 E,62.2,25.7,,Broadleaf (wooded pasture),Betula spp.,,,,CI,6,GRAZ,"Cattle, sheep or horse grazing vs. discontinued grazing","FungAbuns, FungAbunt, FungRich, FungComp",,Fungi,,,http://scholar.google.co.uk/scholar?q=The+effect+of+grazing+history+on+fungal+diversity+in+broadleaved+pastures&btnG=&hl=en&as_sdt=0%2C5
Nieminen et al. (2009),"J. K. Nieminen, M. Boucelham and J. Haimi",2009,Dead-wood effects on enchytraeids and nematodes in thinned and unmanaged Norway spruce forests,Scandinavian Journal of Forest Research,24,348-353,English,,Finland,Central Finland,,,61.65 N,25.07 E,61.65,25.07,150,Coniferous,Picea abies,90,D,,CI,1,THIN,Thinning,"InverAbunt, InverPerf",,Enchytraeids; nematodes,,Experiment B.,http://scholar.google.co.uk/scholar?q=Dead-wood+effects+on+enchytraeids+and+nematodes+in+thinned+and+unmanaged+Norway+spruce+forests&btnG=&hl=en&as_sdt=0%2C5
Mustonen and Saine (2013),K. Mustonen and S. Saine,2013,Valkoselkätikka (Dendrocopos leucotos) hoitosateenvarjolajina – elinympäristön hoidon vaikutus puuston uusiutumiseen (White-backed woodpecker as a management umbrella species – tree regeneration after habitat management in white-backed woodpecker territories),University of Jyväskylä (thesis),,,Finnish,,Finland,Central Finland; Päijänne Tavastia,,,61.7 N,26 E,61.7,26,,Mixed,,Mature,,,CI,6,"PART, UREM",Removal of spruce (Picea abies) from white-backed woodpecker habitats,"TreeAbuns, TreeAbunt, TreeRich, TreePerf",,Tree seedlings (regeneration of deciduous trees),,,http://scholar.google.co.uk/scholar?q=Valkoselkätikka+Dendrocopos+leucotos+hoitosateenvarjolajina+elinympäristön+hoidon+vaikutus+puuston+uusiutumiseen&btnG=&hl=en&as_sdt=0%2C5
Onttonen (2013),N. Onttonen,2013,Occurrence of aspen epiphytic bryophytes in white-backed woodpecker (Dendrocopos leucotos) forests,University of Jyväskylä (thesis),,,English,,Finland,Central Finland; Päijänne Tavastia,,,62 N,26 E,62,26,,Mixed,"Betula spp., Alnus incana, Sorbus aucuparia, Salix caprea, Populus tremula, Pinus sylvestris, Picea abies",Mature,,,CI,8,"PART, UREM",Removal of spruce (Picea abies) from white-backed woodpecker habitats,"BryoAbuns, BryoAbunt, BryoRich, BryoComp",,Bryophytes (aspen epiphytes),,,http://scholar.google.co.uk/scholar?q=Occurrence+of+aspen+epiphytic+bryophytes+in+white-backed+woodpecker+(Dendrocopos+leucotos)+forests&btnG=&hl=en&as_sdt=0%2C5
Koivula and Niemelä (2003),M. Koivula and J. Niemelä,2003,"Gap felling as a forest harvesting method in boreal forests: Responses of carabid beetles (Coleoptera, Carabidae)",Ecography,26,179-187,English,,Finland,Central Finland; Pirkanmaa,Längelmäki; Kuorevesi; Orivesi,,61.65-61.82 N,24.35-24.82 E,61.8,24.6,,Coniferous,Picea abies,80-120,,,BACI,3,PART,"Gap felling (0.16 ha gaps), 50-60% retention. (Study also reports on mechanical site preparation.)","BeetgAbuns, BeetgComp",,Carabids,,Site coordinates from Siira-Pietikäinen et al. (2001),"http://scholar.google.co.uk/scholar?q=Gap+felling+as+a+forest+harvesting+method+in+boreal+forests:+Responses+of+carabid+beetles+(Coleoptera,+Carabidae)&btnG=&hl=en&as_sdt=0%2C5"
Matveinen-Huju and Koivula (2008),K. Matveinen-Huju and M. Koivula,2008,Effects of alternative harvesting methods on boreal forest spider assemblages,Canadian Journal of Forest Research,38,782-794,English,,Finland,Central Finland; Pirkanmaa,Längelmäki; Orivesi; Kuorevesi; Mänttä,,61.65-62.08 N,24.35-24.87 E,61.8,24.6,,Coniferous,Picea abies,80-120,,,BACI,4,"PART, THIN","Gap felling (0.16 ha gaps), 34-39% retention; thinning, 66-89% retention. (Study also reports on clearcutting and low-retention harvesting.)","ArthAbuns, ArthRich, ArthComp",,Spiders,,Site coordinates from Siira-Pietikäinen et al. (2001),http://scholar.google.co.uk/scholar?q=Effects+of+alternative+harvesting+methods+on+boreal+forest+spider+assemblages&btnG=&hl=en&as_sdt=0%2C5
Siira-Pietikäinen and Haimi (2009),A. Siira-Pietikäinen and J. Haimi,2009,Changes in soil fauna 10 years after forest harvestings: Comparison between clear felling and green-tree retention methods,Forest Ecology and Management,258,332-338,English,,Finland,Central Finland; Pirkanmaa,Längelmäki; Orivesi; Kuorevesi; Mänttä,,61.65-62.08 N,24.35-24.87 E,61.8,24.6,,Coniferous,Picea abies,100,,,BACI (composition data); CI (other outcomes),4,PART,"Gap felling (0.1-0.2 ha gaps) and single-tree selection harvesting, 50 and 70% retention, respectively. (Study also reports on clearcutting, low-retention harvesting and site preparation.)","InverAbunt, ArthAbunt, ArthComp, InsAbunt",,Soil invertebrates,,,http://scholar.google.co.uk/scholar?q=Changes+in+soil+fauna+10+years+after+forest+harvestings:+Comparison+between+clear+felling+and+green-tree+retention+methods&btnG=&hl=en&as_sdt=0%2C5
Siira-Pietikäinen et al. (2001),"A. Siira-Pietikäinen, J. Pietikäinen, H. Fritze and J. Haimi",2001,Short-term responses of soil decomposer communities to forest management: Clear felling versus alternative forest harvesting methods,Canadian Journal of Forest Research,31,88-99,English,,Finland,Central Finland; Pirkanmaa,Längelmäki; Orivesi; Kuorevesi; Mänttä,,61.65-62.08 N,24.35-24.87 E,61.8,24.6,,Coniferous,Picea abies,100,,,BACI,4,PART,"Gap felling (0.1-0.2 ha gaps) and single-tree selection harvesting, 50 and 70% retention, respectively. (Study also reports on clearcutting, low-retention harvesting and site preparation.)","ArthAbunt, ArthComp, ArthDiv, InverAbunt",,Enchytraeids; springtails,,,http://scholar.google.co.uk/scholar?q=Short-term+responses+of+soil+decomposer+communities+to+forest+management:+Clear+felling+versus+alternative+forest+harvesting+methods&btnG=&hl=en&as_sdt=0%2C5
Siira-Pietikäinen et al. (2003),"A. Siira-Pietikäinen, J. Haimi and J. Siitonen",2003,Short-term responses of soil macroarthropod community to clear felling and alternative forest regeneration methods,Forest Ecology and Management,172,339-353,English,,Finland,Central Finland; Pirkanmaa,Längelmäki; Orivesi; Kuorevesi; Mänttä,,61.65-62.08 N,24.35-24.87 E,61.8,24.6,,Coniferous,Picea abies,100,,,BACI,4,PART,"Gap felling (0.1-0.2 ha gaps) and single-tree selection harvesting, 50 and 70% retention, respectively. (Study also reports on clearcutting, low-retention harvesting and site preparation.)","ArthAbunt, ArthComp, InsAbunt, InsComp, BeetgAbuns, BeetgAbunt, BeetgComp, BeetgRich, BeetgDiv",,Soil macroarthropods,,,http://scholar.google.co.uk/scholar?q=Short-term+responses+of+soil+macroarthropod+community+to+clear+felling+and+alternative+forest+regeneration+methods&btnG=&hl=en&as_sdt=0%2C5
Kotiluoto (1998),R. Kotiluoto,1998,Vegetation changes in restored semi-natural meadows in the Turku Archipelago of SW Finland,Plant Ecology,136,53-67,English,,Finland,Finland Proper,Archipelago National Park,,59.75-60.25 N,21.08-22.33 E,60.03,21.77,,Broadleaf (meadow and pasture),"Betula pendula, Betula pubescens, Sorbus aucuparia, Alnus glutinosa",,,,BA,11-16,"GRAZ, MOW, THIN, UREM","Resumption of grazing by cattle, sheep and horses; mowing; thinning; shrub removal","TreeAbunt, TreeRich, TreeComp, VascAbunt, VascRich, VascComp",,Trees and other vascular plants,,,http://scholar.google.co.uk/scholar?q=Vegetation+changes+in+restored+semi-natural+meadows+in+the+Turku+Archipelago+of+SW+Finland&btnG=&hl=en&as_sdt=0%2C5
Koponen (2013),S. Koponen,2013,Ground-living spiders in wooded habitats under human influence on an island in Finland,Arachnologische Mitteilungen,45,8-14,English,,Finland,Finland Proper,Archipelago National Park (Jungfruskär),,60.14 N,21.08 E,60.14,21.08,2-5,Broadleaf (wooded meadow),"Betula pubescens, Alnus glutinosa",,,,CI,1,UREM,Removal of undergrowth from wooded meadow,"ArthAbuns, ArthRich",,Ground-living spiders,,Relevant comparison: Wooded meadow (cleared in 1997-98) vs. mixed dense grove (old overgrown meadow).,http://scholar.google.co.uk/scholar?q=Ground-living+spiders+in+wooded+habitats+under+human+influence+on+an+island+in+Finland&btnG=&hl=en&as_sdt=0%2C5
Hekkala et al. (2014a),"A.-M. Hekkala, M.-L. Päätalo, O. Tarvainen and A. Tolvanen",2014,Restoration of young forests in eastern Finland: Benefits for saproxylic beetles (Coleoptera),Restoration Ecology,22,151-159,English,,Finland,Kainuu,Elimyssalo,Green Belt LIFE project,64.23 N,30.37 E,64.23,30.37,230,Coniferous,Pinus sylvestris,30,,,BACI,3,"BURN, CREA, PART","Partial cutting to create dead wood (2 levels), followed by prescribed burning","BeetsAbunt, BeetsRich, BeetsComp, TreeAbunt, DeadAbunt",,Saproxylic beetles,,,http://scholar.google.co.uk/scholar?q=Restoration+of+young+forests+in+eastern+Finland:+Benefits+for+saproxylic+beetles+(Coleoptera)&btnG=&hl=en&as_sdt=0%2C5
